semestre;cod_preferencia;1_semestre_fies;2_semestre_fies;3_semestre_fies;4_semestre_fies;5_semestre_fies;6_semestre_fies;7_semestre_fies;8_semestre_fies;9_semestre_fies;10_semestre_fies;11_semestre_fies;12_semestre_fies
1;118973;4559,4;4559,4;4559,4;4559,4;4559,4;4559,4;4559,4;4559,4;4559,4;4559,4;0;0
1;119492;6288,72;6288,72;6288,72;6288,72;6288,72;6288,72;6288,72;6288,72;6288,72;6288,72;0;0
1;119081;4962,04;4962,04;4962,04;4962,04;4962,04;4962,04;4962,04;4962,04;4962,04;4962,04;0;0
1;120727;5646;5646;5646;5646;5646;5646;5646;5646;5646;5646;0;0
1;117982;3431,9;3431,9;3603,51;3603,51;3783,69;3783,69;3972,87;3972,87;0;0;0;0
1;119523;7153,5;7153,5;7017,24;7017,24;7017,24;7017,24;6135,24;6135,24;0;0;0;0
1;119207;6084;6084;6084;6084;6084;6084;6084;6084;6084;6084;0;0
1;121213;8946;8946;8946;8946;8946;8946;8946;8946;0;0;0;0
1;121218;10725,36;11849,02;11688;11500,32;11462,97;11914,88;11308,92;11535,81;11119,39;9716,07;0;0
1;120811;4365;4365;4365;4365;4365;4365;4365;4365;0;0;0;0
1;121593;5107,49;5674,99;4539,99;5674,99;5674,99;5674,99;5674,99;5674,99;7377,49;3972,49;0;0
1;120126;54600;54600;54600;54600;54600;54600;54600;54600;54600;54600;54600;54600
1;118707;2879,4;2879,4;2879,4;2879,4;2879,4;0;0;0;0;0;0;0
1;119599;4536;4536;4536;4536;4536;4536;9726;9726;0;0;0;0
1;118286;5384,34;5384,34;5384,34;5384,34;5384,34;5384,34;0;0;0;0;0;0
1;121029;5640;5640;5640;5640;5640;5640;5640;5640;0;0;0;0
1;120039;6366,67;6366,67;6366,67;6366,67;6366,67;6366,67;6366,67;6366,67;6366,67;6366,67;0;0
1;119749;7406,14;7406,14;7406,14;7406,14;7406,14;7406,14;7406,14;7406,14;0;0;0;0
1;121994;10034,79;10034,79;10034,79;10034,79;10034,79;10034,79;10034,79;10034,79;0;0;0;0
1;119683;17979,2;19777,12;22474;23372,96;21575,04;23372,96;25170,88;24271,92;18878,16;898,96;0;0
1;120468;61722;60528;60528;60528;60528;60528;60528;60528;60528;60528;60528;60528
1;119894;1954,58;1954,58;2606,1;2606,1;2606,1;2606,1;2466,24;2466,24;0;0;0;0
1;118220;5205,22;5205,22;5205,22;5205,22;5205,22;5205,22;5205,22;5205,22;5205,22;5205,22;0;0
1;120867;4434,6;4434,6;4434,6;4434,6;4434,6;4434,6;4434,6;4434,6;0;0;0;0
1;119581;7884;7884;7884;7884;7884;7884;7884;7884;7884;7884;0;0
1;117868;6921,78;6921,78;6921,78;6921,78;6921,78;6921,78;6921,78;6921,78;6921,78;6921,78;0;0
1;121946;5634;5754;6412,56;4939,11;6660,81;7281,86;9216,41;8269,16;9688,19;9349,16;0;0
1;120716;6424,4;6424,4;6424,4;6424,4;6424,4;6424,4;13938;13938;0;0;0;0
1;121573;13469,28;14591,72;14591,72;14591,72;15714,16;16836,6;15714,16;15714,16;13469,28;14591,72;0;0
1;121498;16950;16950;16950;16950;16950;16950;16950;16950;16950;16950;0;0
1;119965;5034;4794;5128,56;3643,7;5776,29;5372,19;5372,19;5372,19;5372,19;5372,19;0;0
1;121879;3060;3060;3060;3060;3060;3060;3060;3060;0;0;0;0
1;120819;9362,64;9656,63;10042,91;10042,91;0;0;0;0;0;0;0;0
1;121568;10717,08;9742,8;11691,36;11691,36;9745,8;11691,36;11691,36;10717,08;11691,36;13639,92;0;0
1;122085;3174,9;2474,98;2372,38;2365,73;0;0;0;0;0;0;0;0
1;120557;5883,72;5883,72;5883,72;5883,72;5883,72;5883,72;5883,72;5883,72;5883,72;5883,72;0;0
1;120223;3719,4;3719,4;3719,4;3719,4;3719,4;3719,4;3719,4;3719,4;0;0;0;0
1;120503;5227,2;5227,2;5227,2;5227,2;5227,2;5227,2;5227,2;5227,2;0;0;0;0
1;120059;7176;7176;7176;7176;7176;7176;7176;7176;0;0;0;0
1;121731;10374,91;10374,91;10374,91;10374,91;11239,49;12104,06;11239,49;11239,49;0;0;0;0
1;120316;20827,71;20827,71;20827,71;20827,71;20827,71;20827,71;20827,71;20827,71;20827,71;20827,71;0;0
1;121664;6337,98;6337,98;6337,98;6337,98;6337,98;6337,98;6337,98;6337,98;5704,18;5070,38;0;0
1;121299;2693,28;2693,28;2693,28;2693,28;2693,28;2693,28;2693,28;2693,28;0;0;0;0
1;118201;5820;5820;6402;6402;7042,2;7042,2;7746,42;7746,42;9373,16;9373,16;0;0
1;119068;7314,92;7314,92;7314,92;7314,92;7314,92;7314,92;7314,92;7314,92;7314,92;7314,92;0;0
1;118250;6374,13;6374,13;6374,13;6374,13;6374,13;6374,13;6374,13;6374,13;6374,13;6374,13;0;0
1;120972;12060;11868;11724,96;11724,96;11893,86;11893,86;12004,38;12004,38;0;0;0;0
1;118861;4500;4500;4500;4500;4500;4500;4500;4500;0;0;0;0
1;121496;7631,06;7631,06;7631,06;7631,06;7631,06;7631,06;7631,06;7631,06;0;0;0;0
1;120346;4619,4;4619,4;4619,4;4619,4;4619,4;4619,4;4619,4;4619,4;4619,4;4619,4;0;0
1;117867;8775,96;8775,96;8775,96;8775,96;8775,96;8775,96;8775,96;8775,96;8775,96;8775,96;0;0
1;120584;3508,74;3063,01;2918,58;3264,86;0;0;0;0;0;0;0;0
1;121660;8450,25;8450,25;8450,25;8450,25;8772,8;8772,8;8772,8;8772,8;0;0;0;0
1;120060;1405,5;1405,5;1405,5;1405,5;1405,5;1405,5;1405,5;1405,5;1405,5;1405,5;0;0
1;120290;7188;7188;7188;7188;7188;7188;7188;7188;0;0;0;0
1;119615;4944;4944;4945,5;5054,77;4898,39;5170,68;4862,67;4922,77;4583,69;4894,83;0;0
1;120595;4536;4536;4536;4536;4536;4536;4536;4536;0;0;0;0
1;119272;4830;4830;4830;4830;4830;4830;4830;4830;0;0;0;0
1;121751;1800,57;1800,57;1800,57;1800,57;1800,57;1800,57;1800,57;1800,57;1800,57;1800,57;0;0
1;120293;5399,4;5399,4;5399,4;5399,4;5399,4;0;0;0;0;0;0;0
1;121215;9234;9234;9234;9234;9234;9234;9234;9234;9234;9234;0;0
1;120460;6130,56;6130,56;6130,56;6130,56;6130,56;6130,56;6130,56;6130,56;0;0;0;0
1;121071;13188;25270,14;25270,14;25270,14;25270,14;25270,14;25270,14;25270,14;25270,14;25270,14;0;0
1;121115;5994;5574;5963,23;4790,79;7174,53;7230,87;8179,88;7745,4;0;0;0;0
1;119598;3234;3234;3231,9;3303,31;3073,23;3244,07;3043,54;3081,15;0;0;0;0
1;118893;4940,35;4940,35;4940,35;4940,35;4940,35;4940,35;5763,74;5763,74;5763,74;4940,35;0;0
1;120764;3634,2;3634,2;3634,2;3634,2;3634,2;3634,2;9252;9252;0;0;0;0
1;118718;9767,14;9767,14;9767,14;9767,14;10304,34;10304,34;10500,59;10880,79;10880,79;11170,03;0;0
1;121221;5073;5073;5073;5073;0;0;0;0;0;0;0;0
1;121603;10425,21;10425,21;10425,21;10425,21;10425,21;10425,21;10425,21;10425,21;10425,21;10425,21;0;0
1;118651;1475,57;1475,57;1475,57;1475,57;1475,57;1475,57;1475,57;1475,57;0;0;0;0
