ies;codigo_mec_ies;organizacao_academica;uf_ies;municipio_ies;vagas_autorizadas;vagas_ocupadas
FACULDADE CNEC RIO DAS OSTRAS;2334;Faculdade ;RJ;Rio das Ostras;80;3
Faculdade Uninta Itapipoca;20547;Faculdade ;CE;Itapipoca;50;3
INSTITUTO SUPERIOR DE EDUCAÇAO DO CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA;1962;Faculdade ;RJ;Campos dos Goytacazes;60;0
ALFA - Faculdade de Almenara;3756;Faculdade ;MG;Almenara;50;2
Centro de Ensino Superior CESUL;1523;Faculdade ;PR;Francisco Beltrão;100;2
FACULDADE INTEGRADA CARAJAS;14901;Faculdade ;PA;Redenção;150;12
FACULDADE DE EDUCAÇAO E TECNOLOGIA DA AMAZÔNIA;16898;Faculdade ;PA;Abaetetuba;100;1
FACULDADE ÚNICA DE TIMÓTEO;14242;Faculdade ;MG;Timóteo;80;0
Faculdade Doctum de Carangola;5276;Faculdade ;MG;Carangola;100;2
CENTRO UNIVERSITARIO DE VOLTA REDONDA;489;Centro Universitário;RJ;Volta Redonda;180;1
FACULDADES DE DRACENA;1420;Faculdade ;SP;Dracena;66;16
FACULDADES INTEGRADAS DE JAHU;1355;Faculdade ;SP;Jaú;50;0
FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA;1844;Faculdade ;SP;Andradina;40;0
FACULDADE METROPOLITANA DE RIO DO SUL;4157;Faculdade ;SC;Rio do Sul;200;0
Faculdade Multivix Nova Venécia;1359;Faculdade ;ES;Nova Venécia;100;2
CENTRO UNIVERSITARIO BRAZ CUBAS;526;Centro Universitário;SP;Mogi das Cruzes;100;0
FACULDADE DE AMPÉRE;2620;Faculdade ;PR;Ampére;50;0
FACULDADE PARA O DESENVOLVIMENTO SUSTENTAVEL DA AMAZÔNIA;15383;Faculdade ;PA;Parauapebas;80;0
FACULDADE VÉRTICE;4846;Faculdade ;MG;Matipó;120;34
FACULDADE DE ENSINO SUPERIOR E FORMAÇAO INTEGRAL;1307;Faculdade ;SP;Garça;60;1
FACULDADE TECSOMA;1319;Faculdade ;MG;Paracatu;100;0
